     DEBUG | 	sigai.student25_passphrase_1.txt -> sigai.student25_pass.txt
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student25.pem
     DEBUG | 		writing sigai.student25.ppk
     DEBUG | 		writing sigai.student25.pem.pub
     DEBUG | 		writing sigai.student25_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student9-keys.tgz
     DEBUG | Extracted to sigai.student9-keys
     DEBUG | 	sigai.student9_id_rsa_1 -> sigai.student9.pem
     DEBUG | 	sigai.student9_id_rsa_1.pub -> sigai.student9.pem.pub
     DEBUG | 	sigai.student9_passphrase_1.txt -> sigai.student9_pass.txt
     DEBUG | 	sigai.student9_id_rsa_1.ppk -> sigai.student9.ppk
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student9.pem
     DEBUG | 		writing sigai.student9.ppk
     DEBUG | 		writing sigai.student9.pem.pub
     DEBUG | 		writing sigai.student9_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student8-keys.tgz
     DEBUG | Extracted to sigai.student8-keys
     DEBUG | 	sigai.student8_id_rsa_1 -> sigai.student8.pem
     DEBUG | 	sigai.student8_id_rsa_1.pub -> sigai.student8.pem.pub
     DEBUG | 	sigai.student8_passphrase_1.txt -> sigai.student8_pass.txt
     DEBUG | 	sigai.student8_id_rsa_1.ppk -> sigai.student8.ppk
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student8.pem
     DEBUG | 		writing sigai.student8.ppk
     DEBUG | 		writing sigai.student8.pem.pub
     DEBUG | 		writing sigai.student8_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student39-keys.tgz
     DEBUG | Extracted to sigai.student39-keys
     DEBUG | 	sigai.student39_id_rsa_1.ppk -> sigai.student39.ppk
     DEBUG | 	sigai.student39_passphrase_1.txt -> sigai.student39_pass.txt
     DEBUG | 	sigai.student39_id_rsa_1 -> sigai.student39.pem
     DEBUG | 	sigai.student39_id_rsa_1.pub -> sigai.student39.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student39.pem
